https://w3id.org/okn/o/sd#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#hasLongName,https://w3id.org/okn/o/sd#hasShortName,https://w3id.org/okn/o/sd#hasStandardVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sdm#influences,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#hasCanonicalName,https://w3id.org/okn/o/sd#hasDefaultValue
modflow2005_nd_critical_head,ND CRITICAL HEAD,critical head for no-delay interbeds,m,nd critical head,ND CRITICAL HEAD,ground_interbed~no-delay_water__critical_head,,,,,,
modflow2005_ndsys_compaction,NDSYS COMPACTION,compaction by interbed system,m,ndsys compaction,NDSYS COMPACTION,ground_interbed~no-delay__compaction_length,,,,,,
modflow2005_nlay,NLAY,number of layers,,num layers,NLAY,model_grid_layer__count,,,,,,
modflow2005_nper,NPER,number of stress periods,,num periods,NPER,model__stress_period_count,,,,,,
modflow2005_nrow,NROW,number of rows,,num row,NROW,model_grid_row__count,,,,,,
modflow2005_nstp,NSTP,number of time steps in a stress period,,num steps,NSTP,model__stress_period_time_step_count,,,,,,
modflow2005_perlen,PERLEN,length of a stress period,h,period length,PERLEN,model__stress_period_duration,,,,,,
modflow2005_q,Q,volumetric recharge rate,m/h,q,Q,groundwater_well__recharge_volume_flux,,,,,,
modflow2005_rech,RECH,recharge flux,m/h,recharge,RECH,groundwater__recharge_volume_flux,,,,,,
modflow2005_rnb,RNB,areal extent of each system of interbeds,m^2,rnb,RNB,ground_interbed_system__areal_extent,,,,,,
modflow2005_sf1,Sf1,primary storage coefficient,,storage coefficient 1,Sf1,groundwater__primary_storage_coefficient,,,,,,
modflow2005_sf2,Sf2,secondary storage coefficient,,storage coefficient 2,Sf2,groundwater__secondary_storage_coefficient,,,,,,
modflow2005_sfe,Sfe,elastic skeletal storage coefficient for systems of no-delay interbeds,,skeletal storage elastic,Sfe,ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,,,,,,
modflow2005_sfv,Sfv,inelastic skeletal storage coefficient for systems of no-delay interbeds,,skeletal storage inelastic,Sfv,ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,,,,,,
modflow2005_strt,STRT,initial head,m,start,STRT,groundwater__initial_head,,,,,,
modflow2005_subsidence,SUBSIDENCE,subsidence,m,subsidence,SUBSIDENCE,ground__subsidence_length,,,,,,
modflow2005_top,Top,top elevation of layer 1,m,top,Top,model_grid_layer~topmost_top__elevation,,,,,,
modflow2005_tran,Tran,transmissivity along rows,m^2/h,transmissivity,Tran,groundwater__horizontal_transmissivity,,,,,,
modflow2005_trpy,TRPY,horizontal anisotropy factor for each layer,,anistropy,TRPY,groundwater__horizontal_anisotropy_factor,,,,,,
modflow2005_tsmult,TSMULT,multiplier for the length of successive time steps,,time step multiplier,TSMULT,model__successive_time_step_multiplier,,,,,,
modflow2005_vcont,Vcont,vertical hydraulic conductivity,m/h,vertical hydraulic conductivity,Vcont,groundwater__vertical_hydraulic_conductivity,,,,,,
modflow2005_z_displacement,Z DISPLACEMENT,vertical displacement by model layer,m,z displacement,Z DISPLACEMENT,model_grid_layer_groundwater__vertical_displacement,,,,,,
pihm_Albedo,Albedo,Albedo,,Albedo,Albedo,land_surface__albedo,,,,,,
pihm_Alpha,Alpha,Van Genuchten Soil Parameter,m-1,Van Genuchten Soil Parameter,Alpha,soil_water__van-genuchten_alpha_parameter,,,,,,
pihm_BC_Value,BC Value,BC Value,m,BC Value,Value,,,,,,,
pihm_Bed,Bed,Bed Depth,m,Bed Depth,Bed,channel_bed__thickness,,,,,,
pihm_Beta,Beta,Van Genuchten Soil Parameter,,Van Genuchten Soil Parameter,Beta,soil_water__van-genuchten_beta_parameter,,,,,,
pihm_Cwr,Cwr,Discharge Coefficient,,Discharge Coefficient,Cwr,channel_water__discharge_coefficient,,,,,,
pihm_Depth,Depth,Depth of the SHAPE,m,Depth of the SHAPE,Depth,channel_bed_below-channel-bank__depth,,,,,,
pihm_Dirichlet_BCValue,Value of the Dirichlet BC,Value of the Dirichlet BC,m3 day-1,Value of the Dirichlet BC,Value,,,,,,,
pihm_Height,Height,Height of wind velocity observation,m,wind veolcity height,Height,land_surface_wind__speed_reference_height,,,,,,
pihm_IsFactor,IsFactor,Interception Storage Factor,m,Interception Storage Factor,IsFactor,land_vegetation_canopy_water__interception_storage_factor,,,,,,0.0002
pihm_KsatH,KsatH,Size Hydraulic Conductivity,m day-1,Size Hydraulic Conductivity,KsatH,channel_bottom_sediment_grain_water__hydraulic_conductivity,,,,,,
pihm_KsatV,KsatV,Vertical Saturated Hydraulic Conductivity,m day-1,Vertical Saturated Hydraulic Conductivity,KsatV,soil_water__vertical_saturated_hydraulic_conductivity,,,,,,
pihm_KsatVB,KsatV,Bed Hydraulic Conductivity,m day-1,Bed Hydraulic Conductivity,KsatV,soil_water__vertical_saturated_hydraulic_conductivity,,,,,,
pihm_LAI,LAI,Value of LAI (Leaf Area Index),m2 m-2,Leaf Ara Index,LAI,land_vegetation__leaf-area_index,,,,,,
pihm_LAImax,LAImax,Maximum Leaf Area Index,m2 m-2,Maximum Leaf Area Index,LAImax,land_vegetation__annual_time_max_of_leaf-area_index,,,,,,
pihm_MF,MF,Value of Melt factor,,Melt factor,MF,snow-or-ice__melt_factor,,,,,,
pihm_NER,,Value of net radiation,MJ m-2 day-1,Net Radiation,Net Radiation,land_surface_radiation~net~total__energy_flux,,,,,,
pihm_Neumann_BCValue,Value of the Neumann BC,Value of the Neumann BC,m,Value of the Neumann BC,Value,,,,,,,
pihm_PRCP,PRCP,Value of Precipitation,m day-1,Precipitation,PRCP,atmosphere_water__precipitation_leq_volume_flux,,,,,,
pihm_RH,RH,Value of relative humidity,%,Relative Humidity,RH,atmosphere_air_water~vapor__relative_saturation,,,,,,
pihm_RL,RL,surface roughness length scale for wind,m,Roughness length,RL,atmosphere_bottom_air_flow__log-law_roughness_length,,,,,,
pihm_Rmin,Rmin,Minimum Stomatal Resistance,day m-1,Minimum Stomatal Resistance,Rmin,land_vegetation__time_min_of_stomatal_resistance,,,,,,
pihm_Rs_ref,Rs_ref,Reference Stomatal Resistance,day m-1,Reference Stomatal Resistance,Rs_ref,land_vegetation__reference_stomatal_resistance,,,,,,
pihm_RzD,RzD,Root Zone Depth,m,Root Zone Depth,RzD,soil_root-zone__thickness,,,,,,
pihm_SS,SS,Value of Source/Sink,m3 day-1,Source/Sink,SS,water~incoming-and-outgoing__volume_flow_rate,,,,,,
pihm_TRMP,TRMP,Value of Temperature,degC,Temperature,TRMP,land_surface_air__temperature,,,,,,
pihm_ThetaR,ThetaR,Residual water content,m3 m-3,Residual water content,ThetaR,soil__residual_porosity,,,,,,
pihm_ThetaS,ThetaS,Porosity,m3 m-3,Porosity,ThetaS,soil__porosity,,,,,,
pihm_Time,Time,Time,day,Time,Time,,,,,,,
pihm_VP,VP,Value of vapor press,Pa,Vapor  pressure,VP,atmosphere_bottom_air_water~vapor__partial_pressure,,,,,,
pihm_VegFrac,VegFrac,Vegetation Fraction,m2 m-2,Vegetation Fraction,VegFrac,land_vegetation_canopy__area_fraction,,,,,,
pihm_WINF,WINF,Value of wind speed,m day-1,wind speed,WINF,land_surface_wind__speed,,,,,,
pihm_WT_Value,Water table value,Water table of the IC,m,Water table of the IC,Value,,,,,,,
pihm_et0V,evaporation from canopy,evaporation from canopy,m d-1,evaporation from canopy,,land_vegetation_canopy_water__evaporation_volume_flux,,,,,,
pihm_et2v,evaporation from ground surface,evaporation from ground surface,m d-1,evaporation from ground surface,,land_surface_water__evaporation_volume_flux,,,,,,
pihm_gThetaR,ThetaR,Residual Porosity,m3 m-3,Residual Porosity,ThetaR,soil__residual_porosity,,,,,,
pihm_gThetaS,ThetaS,Porosity,m3 m-3,Porosity,ThetaS,soil__porosity,,,,,,
pihm_ginfD,infD,Top soil layer across which infiltration is calculated,m,Top soil layer across which infiltration is calculated,infD,soil_layer~top__thickness,,,,,,
pihm_gw,Groundwater head,groundwater head,m,Groundwater head,,groundwater__head,,,,,,
pihm_hAreaF,hAreaF,Horizontal Area Fraction of Macropore,m2 m-2,Horizontal Area Fraction of Macropore,hAreaF,soil_macropores_x-section~vertical__area_fraction,,,,,,
pihm_infD,infD,Top soil layer across which infiltration is calculated,m,Top soil layer across which infiltration is calculated,infD,soil_layer~top__thickness,,,,,,
pihm_infil,infiltration rate,infiltration rate,m d-1,infiltration rate,,;,,,,,,
pihm_isv,Interception storage,Interception storage,m,Interception storage,,soil_water__volume-per-area_interception_storage_capacity,,,,,,
pihm_macD,macD,Macropore Depth,m,Macropore Depth,macD,soil_macropores_below-land-surface__depth,,,,,,
pihm_macKsatH,macKsatH,Horizontal macropore Hydraulic conductivity,m day-1,Horizontal macropore Hydraulic conductivity,macKsatH,soil_water__saturated_hydraulic_conductivity,,,,,,
pihm_macKsatV,macKsatV,Vertical macropore Hydraulic conductivity,m day-1,Vertical macropore Hydraulic conductivity,macKsatV,soil_macropores_water__vertical_hydraulic_conductivity,,,,,,
pihm_n,n,Manning's Roughness Coefficient,day/m^(1/3),Manning's Roughness Coefficient,n,channel_water_flow__manning_n_parameter,,,,,,
pihm_rbedv,river bed storage,river bed storage,m,river bed storage,,channel~river_bed_water__volume-per-area_storage_capacity,,,,,,
pihm_rechr,recharge rate,recharge rate,m d-1,recharge rate,,,,,,,,
pihm_rivFlx0v,Lateral influs to the stream reach,lateral influs to the stream reach,m d-1,lateral influs to the stream reach,,channel~stream_reach_water~incoming__lateral_volume_flux,,,,,,
pihm_rivFlx10v,lateral influx to the bed beneath river,lateral influx to the bed beneath river,m d-1,lateral influx to the bed beneath river,,channel~river_bed_water~incoming__lateral_volume_flux,,,,,,
pihm_rivFlx1v,Lateral outflow from stream reach,Lateral outflow from stream reach,m d-1,Lateral outflow from stream reach,,channel~stream_reach_water~outgoing__lateral_volume_flux,,,,,,
pihm_rivFlx2v,Surface flow to stream reach from left terrain,Surface flow to stream reach from left terrain,m d-1,Surface flow to stream reach from left terrain,,land_surface_terrain~left_channel~stream_reach_water__volume_flux,,,,,,
pihm_rivFlx3v,surface flow frow to stream reach from right terrain,surface flow frow to stream reach from right terrain,m d-1,surface flow frow to stream reach from right terrain,,land_surface_terrain~right_channel~stream_reach_water__volume_flux,,,,,,
pihm_rivFlx4v,Baseflow to stream reach from aquifer on the left,Baseflow to stream reach from aquifer on the left,m d-1,Baseflow to stream reach from aquifer on the left,,aquifer~left_channel~stream_reach_water__baseflow_volume_flux,,,,,,
pihm_rivFlx5v,baseflow to stream reach from aquifer on the right,baseflow to stream reach from aquifer on the right,m d-1,baseflow to stream reach from aquifer on the right,,aquifer~right_channel~stream_reach_water__baseflow_volume_flux,,,,,,
pihm_rivFlx6v,leakage between stream reach and river bed,leakage between stream reach and river bed,m d-1,leakage between stream reach and river bed,,channel~river_bed_channel~stream_reach_water__leakage_volume_flux,,,,,,
pihm_rivFlx7v,subsurface flow to the river bed from left aquifer,subsurface flow to the river bed from left aquifer,m d-1,subsurface flow to the river bed from left aquifer,,land_subsurface_aquifer~left_channel~river_bed_water__volume_flux,,,,,,
pihm_rivFlx8v,subsurface flow to the river bed from right aquifer,subsurface flow to the river bed from right aquifer,m d-1,subsurface flow to the river bed from right aquifer,,land_subsurface_aquifer~right_channel~river_bed_water__volume_flux,,,,,,
pihm_rivFlx9v,lateral outflux to the bed beneath river,lateral outflux to the bed beneath river,m d-1,lateral outflux to the bed beneath river,,channel~river_bed_water~outgoing__lateral_volume_flux,,,,,,
pihm_snowV,Snow accumulation,Snow accumulation,m,Snow accumulation,,land_surface_snow__time_integral_of_accumulation_volume_flux,,,,,,
pihm_stagev,river stage,river stage,m,river stage,,;,,,,,,
pihm_streamflow_ph,Streamflow,Streamflow,m d-1,Streamflow,Streamflow,,,,,,,
pihm_surfV,Surface Water,Surface Water,m,Surface Water,,land_surface_water__depth,,,,,,
pihm_transpiration,transpiration,transpiration,m d-1,transpiration,,land_vegetation_canopy_water__transpiration_volume_flux,,,,,,
pihm_unsatV,Soil Moisture,Soil Moisture,m,Soil Moisture,,soil_water__volume-per-area_concentration,,,,,,
pihm_vAreaF,vAreaF,Vertical Area Fraction of Macropore,m2 m-2,Vertical Area Fraction of Macropore,vAreaF,soil_macropores_x-section~vertical__area_fraction,,,,,,
svid_demp,demp,D8 flow direction,m,,demp,storage_volume,,,,,,
topo_DEM,DEM,Digital elevation model,m,Digital elevation model,DEM,land_surface__elevation,,,,,,
topo_Q,Q,Cross section volume rate (discharge),m3 s-1,Discharge,Q,channel_water_x-section__volume_flow_rate,,,,,,
topo_albedo,albedo,surface albedo in [0-1],,albedo,albedo,land_surface__albedo,,,1,0,,
topo_angle,angle,bank angle of trapezoid cross-section,rad,bank angle of trapezoid cross-section,angle,channel_x-section_trapezoid_side__flare_angle,,,,,,
topo_aspect_grid_file,aspect_grid_file,aspect grid,rad,aspect grid,aspect_grid_file,land_surface__aspect_angle,,,,,,
topo_inundation,flood,Overbank flood depth,m,Overbank flood depth,flood,land_surface_water__flood_inundation_depth,,,,,,
topo_nval,nval,Manning's N values,m-1/3 s,Manning's N values,nval,channel_water_flow__manning_n_parameter,,,,,,
topo_p,P,Precipitation rate,mm h-1,precipitation,P,atmosphere_water__precipitation_leq_volume_flux,,,,,atmosphere_water__precipitation_volume_flux,
topo_slope_file,slope_file,grid of D8 slopes in binary file [m/m],rad,grid of D8 slopes in binary file [m/m],slope_file,land_surface__slope_angle,,,,,,
topo_slope_grid_file,slope_grid_file,slope grid,rad,slope grid,slope_grid_file,land_surface__slope_angle,,,,,,
topo_stream,ds_flow,Downstream volume flow rate,,Downstream volume flow rate,ds_flow,downstream_volume_flow_rate,,,,,,
topo_width,width,bottom width of trapezoid cross-section,m,bottom width of trapezoid cross-section,width,channel_x-section_trapezoid_bottom__width,,,,,,
topo_z0val,z0val,Law-of-wall roughness values,m,Law-of-wall roughness values,z0val,channel_bottom_water_flow__log_law_roughness_length,,,,,,
wgen_cloudfraction,mean_cloud,the mean cloud fraction,,cloud fraction,mean_cloud,,,,,,,
wgen_day,day,day,,day,day,,,,,,,
wgen_lat,lat,Latitude,,latitude,lat,,,,,,,
wgen_lon,lon,Longitude,,longtiude,lon,,,,,,,
wgen_maxT,tmax,maximum daily air temperature,degC,maximum temperature,tmax,air__daily_max_of_temperature,,,,,,
wgen_minT,tmin,minimum daily air temperature,degC,minimum temperature,tmin,air__daily_min_of_temperature,,,,,,
wgen_month,month,month,,month,month,,,,,,,
wgen_prcp,prcp,precipitation,mm day-1,precipitation,prcp,atmosphere_water__precipitation_leq_volume_flux,,,,,,
wgen_stationid,id,Station ID,,station id,id,,,,,,,
wgen_wetdays,wet day,number of wet days in the month,,number of wet days in a month,wet day,,,,,,,
wgen_windspeed,wind,The mean wind speed,m s-1,wind speed,wind,,,,,,,
wgen_year,year,year,,year,year,,,,,,,
